año,caudal_djf_m3s,codigo_estacion,nombre_estacion
1985,0.6563333333333333,05703006,Estero Glaciar Echaurren Norte
1986,0.5076666666666667,05703006,Estero Glaciar Echaurren Norte
1987,0.47833333333333333,05703006,Estero Glaciar Echaurren Norte
1988,0.731,05703006,Estero Glaciar Echaurren Norte
1989,0.4326666666666667,05703006,Estero Glaciar Echaurren Norte
1990,0.23650000000000002,05703006,Estero Glaciar Echaurren Norte
1991,0.3363333333333333,05703006,Estero Glaciar Echaurren Norte
1992,0.6625,05703006,Estero Glaciar Echaurren Norte
1993,0.5763333333333334,05703006,Estero Glaciar Echaurren Norte
1994,0.4726666666666666,05703006,Estero Glaciar Echaurren Norte
1995,0.4726666666666666,05703006,Estero Glaciar Echaurren Norte
1998,,05703006,Estero Glaciar Echaurren Norte
1999,0.6136666666666667,05703006,Estero Glaciar Echaurren Norte
2000,0.7783333333333333,05703006,Estero Glaciar Echaurren Norte
2001,0.35433333333333333,05703006,Estero Glaciar Echaurren Norte
2002,0.349,05703006,Estero Glaciar Echaurren Norte
2003,,05703006,Estero Glaciar Echaurren Norte
2004,0.31,05703006,Estero Glaciar Echaurren Norte
2005,,05703006,Estero Glaciar Echaurren Norte
2006,,05703006,Estero Glaciar Echaurren Norte
2007,,05703006,Estero Glaciar Echaurren Norte
2009,,05703006,Estero Glaciar Echaurren Norte
2014,,05703006,Estero Glaciar Echaurren Norte
2015,,05703006,Estero Glaciar Echaurren Norte
2016,,05703006,Estero Glaciar Echaurren Norte
2017,,05703006,Estero Glaciar Echaurren Norte
2018,,05703006,Estero Glaciar Echaurren Norte
2019,,05703006,Estero Glaciar Echaurren Norte
2021,,05703006,Estero Glaciar Echaurren Norte
2023,,05703006,Estero Glaciar Echaurren Norte
2024,,05703006,Estero Glaciar Echaurren Norte
2025,,05703006,Estero Glaciar Echaurren Norte
2026,,05703006,Estero Glaciar Echaurren Norte
1985,183.68966666666665,05704002,Río Maipo en San Alfonso
1986,94.31099999999999,05704002,Río Maipo en San Alfonso
1987,212.03266666666664,05704002,Río Maipo en San Alfonso
1988,235.62800000000001,05704002,Río Maipo en San Alfonso
1989,85.30866666666667,05704002,Río Maipo en San Alfonso
1990,103.38766666666668,05704002,Río Maipo en San Alfonso
1991,76.25266666666666,05704002,Río Maipo en San Alfonso
1992,161.29233333333335,05704002,Río Maipo en San Alfonso
1993,153.39433333333332,05704002,Río Maipo en San Alfonso
1994,135.86866666666668,05704002,Río Maipo en San Alfonso
1995,134.05666666666667,05704002,Río Maipo en San Alfonso
1998,202.36133333333336,05704002,Río Maipo en San Alfonso
1999,63.778333333333336,05704002,Río Maipo en San Alfonso
2000,84.44766666666666,05704002,Río Maipo en San Alfonso
2001,237.35966666666664,05704002,Río Maipo en San Alfonso
2002,194.687,05704002,Río Maipo en San Alfonso
2003,275.1126666666667,05704002,Río Maipo en San Alfonso
2004,106.08266666666667,05704002,Río Maipo en San Alfonso
2005,87.24733333333334,05704002,Río Maipo en San Alfonso
2006,297.0746666666667,05704002,Río Maipo en San Alfonso
2007,166.01033333333334,05704002,Río Maipo en San Alfonso
2009,153.21933333333334,05704002,Río Maipo en San Alfonso
2014,65.50733333333334,05704002,Río Maipo en San Alfonso
2015,54.767999999999994,05704002,Río Maipo en San Alfonso
2016,121.20866666666666,05704002,Río Maipo en San Alfonso
2017,,05704002,Río Maipo en San Alfonso
2018,,05704002,Río Maipo en San Alfonso
2019,,05704002,Río Maipo en San Alfonso
2021,,05704002,Río Maipo en San Alfonso
2023,,05704002,Río Maipo en San Alfonso
2024,,05704002,Río Maipo en San Alfonso
2025,,05704002,Río Maipo en San Alfonso
2026,,05704002,Río Maipo en San Alfonso
