codigo_estacion,nombre_estacion,variable,n,año_inicio,año_fin,r,p_valor,r_detrended,p_detrended,subperiodo
05703006,Estero Glaciar Echaurren Norte,snowfall_djf_mm,16,1986,2004,0.1702,0.5285175336937948,0.1648,0.5419113198665733,completo
05703006,Estero Glaciar Echaurren Norte,rain_djf_mm,16,1986,2004,-0.007,0.9795333169475082,-0.0064,0.9811617884835113,completo
05703006,Estero Glaciar Echaurren Norte,melt_djf_mm,16,1986,2004,0.3918,0.13344154728305485,0.365,0.16451549258290118,completo
05703006,Estero Glaciar Echaurren Norte,sublimation_djf_mm,16,1986,2004,0.4604,0.07273767617652456,0.4308,0.09570228653692851,completo
05703006,Estero Glaciar Echaurren Norte,runoff_djf_mm,16,1986,2004,0.3973,0.12752045897517522,0.3705,0.1577520629717855,completo
05703006,Estero Glaciar Echaurren Norte,routed_djf_mm,16,1986,2004,0.3915,0.133683478816951,0.3651,0.16434571355818908,completo
05704002,Río Maipo en San Alfonso,snowfall_djf_mm,31,1986,2016,0.0545,0.7709767414416488,0.0659,0.7248429220082265,completo
05704002,Río Maipo en San Alfonso,rain_djf_mm,31,1986,2016,-0.2509,0.1733153550697827,-0.2239,0.22592747728411178,completo
05704002,Río Maipo en San Alfonso,melt_djf_mm,31,1986,2016,0.9065,2.2304146743723685e-12,0.9024,4.021812903445289e-12,completo
05704002,Río Maipo en San Alfonso,sublimation_djf_mm,31,1986,2016,0.7722,3.609387894065964e-07,0.7613,6.612209136373438e-07,completo
05704002,Río Maipo en San Alfonso,runoff_djf_mm,31,1986,2016,0.8981,7.353626225763287e-12,0.8939,1.2784448510399761e-11,completo
05704002,Río Maipo en San Alfonso,routed_djf_mm,31,1986,2016,0.9034,3.5037856667981733e-12,0.8995,6.081973492343604e-12,completo
