año,area_total_km2,sensor,año_base,area_ref_km2,area_ref_fin_km2,delta_largo_plazo_km2,pct_largo_plazo,media_movil_km2,delta_anomalia_km2,pct_anomalia,tasa_lineal_km2_año,area_tendencia_inicio_km2,area_tendencia_fin_km2,cambio_tendencia_pct,decada
1985,1.413475,landsat,1985,1.23337,0.20929,0.1801,14.6,2.29682,-0.88335,-38.46,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1986,0.801577,landsat,1985,1.23337,0.20929,-0.43179,-35.01,3.14384,-2.34227,-74.5,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1987,4.675415,landsat,1985,1.23337,0.20929,3.44204,279.08,2.72573,1.94969,71.53,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1988,5.684912,landsat,1985,1.23337,0.20929,4.45154,360.92,2.64274,3.04217,115.11,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1989,1.053268,landsat,1985,1.23337,0.20929,-0.1801,-14.6,2.57636,-1.52309,-59.12,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1990,0.9985529999999999,landsat,1985,1.23337,0.20929,-0.23482,-19.04,1.71569,-0.71713,-41.8,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1991,0.46963900000000003,landsat,1985,1.23337,0.20929,-0.76373,-61.92,0.98761,-0.51797,-52.45,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1992,0.372064,landsat,1985,1.23337,0.20929,-0.86131,-69.83,1.02099,-0.64892,-63.56,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1993,2.0445219999999997,landsat,1985,1.23337,0.20929,0.81115,65.77,1.25699,0.78753,62.65,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1994,1.220151,landsat,1985,1.23337,0.20929,-0.01322,-1.07,2.14575,-0.9256,-43.14,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1985-1994
1995,2.178577,landsat,1985,1.23337,0.20929,0.94521,76.64,2.15505,0.02353,1.09,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
1998,4.913427,landsat,1985,1.23337,0.20929,3.68006,298.37,1.91667,2.99675,156.35,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
1999,0.418571,landsat,1985,1.23337,0.20929,-0.8148,-66.06,2.17694,-1.75836,-80.77,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
2000,0.852644,landsat,1985,1.23337,0.20929,-0.38073,-30.87,2.21159,-1.35894,-61.45,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
2001,2.5214570000000003,landsat,1985,1.23337,0.20929,1.28809,104.44,2.32248,0.19898,8.57,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
2002,2.351843,landsat,1985,1.23337,0.20929,1.11847,90.68,2.45015,-0.0983,-4.01,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
2003,5.467873,landsat,1985,1.23337,0.20929,4.2345,343.33,2.43446,3.03341,124.6,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
2004,1.056913,landsat,1985,1.23337,0.20929,-0.17646,-14.31,2.71716,-1.66024,-61.1,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,1995-2004
2005,0.77422,landsat,1985,1.23337,0.20929,-0.45915,-37.23,2.68542,-1.9112,-71.17,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2005-2014
2006,3.934935,landsat,1985,1.23337,0.20929,2.70156,219.04,1.64419,2.29074,139.32,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2005-2014
2007,2.193171,landsat,1985,1.23337,0.20929,0.9598,77.82,1.44813,0.74504,51.45,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2005-2014
2009,0.26172,landsat,1985,1.23337,0.20929,-0.97165,-78.78,1.31244,-1.05072,-80.06,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2005-2014
2014,0.0766,landsat,1985,1.23337,0.20929,-1.15677,-93.79,1.12294,-1.04634,-93.18,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2005-2014
2015,0.095752,landsat,1985,1.23337,0.20929,-1.13762,-92.24,0.7899,-0.69415,-87.88,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2016,2.98745,landsat,1985,1.23337,0.20929,1.75408,142.22,0.76255,2.2249,291.77,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2017,0.5280009999999999,landsat,1985,1.23337,0.20929,-0.70537,-57.19,0.79556,-0.26756,-33.63,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2018,0.124934,landsat,1985,1.23337,0.20929,-1.10844,-89.87,0.7817,-0.65676,-84.02,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2019,0.241659,landsat,1985,1.23337,0.20929,-0.99171,-80.41,0.19716,0.0445,22.57,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2021,0.026445,landsat,1985,1.23337,0.20929,-1.20693,-97.86,0.54551,-0.51907,-95.15,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2023,0.064746,landsat,1985,1.23337,0.20929,-1.16863,-94.75,0.58144,-0.51669,-88.86,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2024,2.269769,landsat,1985,1.23337,0.20929,1.0364,84.03,0.56849,1.70128,299.26,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2025,0.304582,landsat,1985,1.23337,0.20929,-0.92879,-75.3,0.704,-0.39942,-56.74,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,2015-2025
2026,0.17691300000000001,landsat,1985,1.23337,0.20929,-1.05646,-85.66,0.91709,-0.74017,-80.71,-0.04719470420362248,2.503600138718369,0.5686172663698414,-77.28801586259196,fuera_rango
