año,area_total_km2,sensor,año_base,area_ref_km2,area_ref_fin_km2,delta_largo_plazo_km2,pct_largo_plazo,media_movil_km2,delta_anomalia_km2,pct_anomalia,tasa_lineal_km2_año,area_tendencia_inicio_km2,area_tendencia_fin_km2,cambio_tendencia_pct,decada
1985,2.816919,landsat,1985,2.46173,0.41857,0.35519,14.43,4.58635,-1.76943,-38.58,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1986,1.603154,landsat,1985,2.46173,0.41857,-0.85857,-34.88,6.27697,-4.67382,-74.46,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1987,9.338975,landsat,1985,2.46173,0.41857,6.87725,279.37,5.44289,3.89609,71.58,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1988,11.34885,landsat,1985,2.46173,0.41857,8.88712,361.01,5.27892,6.06993,114.98,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1989,2.106536,landsat,1985,2.46173,0.41857,-0.35519,-14.43,5.14615,-3.03961,-59.07,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1990,1.9971059999999998,landsat,1985,2.46173,0.41857,-0.46462,-18.87,3.42463,-1.42752,-41.68,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1991,0.9392780000000001,landsat,1985,2.46173,0.41857,-1.52245,-61.84,1.97266,-1.03339,-52.39,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1992,0.7313609999999999,landsat,1985,2.46173,0.41857,-1.73037,-70.29,2.03942,-1.30806,-64.14,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1993,4.0890439999999995,landsat,1985,2.46173,0.41857,1.62732,66.1,2.51125,1.5778,62.83,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1994,2.440302,landsat,1985,2.46173,0.41857,-0.02143,-0.87,4.28548,-1.84518,-43.06,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1985-1994
1995,4.356242,landsat,1985,2.46173,0.41857,1.89451,76.96,4.30663,0.04961,1.15,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
1998,9.810439,landsat,1985,2.46173,0.41857,7.34871,298.52,3.82988,5.98056,156.16,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
1999,0.837142,landsat,1985,2.46173,0.41857,-1.62459,-65.99,4.35041,-3.51326,-80.76,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
2000,1.705288,landsat,1985,2.46173,0.41857,-0.75644,-30.73,4.41843,-2.71315,-61.41,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
2001,5.042914000000001,landsat,1985,2.46173,0.41857,2.58119,104.85,4.63967,0.40325,8.69,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
2002,4.696391,landsat,1985,2.46173,0.41857,2.23466,90.78,4.895,-0.19861,-4.06,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
2003,10.916596,landsat,1985,2.46173,0.41857,8.45487,343.45,4.86363,6.05296,124.45,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
2004,2.113826,landsat,1985,2.46173,0.41857,-0.3479,-14.13,5.42538,-3.31155,-61.04,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,1995-2004
2005,1.54844,landsat,1985,2.46173,0.41857,-0.91329,-37.1,5.36337,-3.81493,-71.13,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2005-2014
2006,7.851632,landsat,1985,2.46173,0.41857,5.3899,218.95,3.28474,4.5669,139.03,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2005-2014
2007,4.386342,landsat,1985,2.46173,0.41857,1.92461,78.18,2.89261,1.49373,51.64,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2005-2014
2009,0.52344,landsat,1985,2.46173,0.41857,-1.93829,-78.74,2.62122,-2.09778,-80.03,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2005-2014
2014,0.1532,landsat,1985,2.46173,0.41857,-2.30853,-93.78,2.24478,-2.09158,-93.18,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2005-2014
2015,0.191504,landsat,1985,2.46173,0.41857,-2.27022,-92.22,1.57871,-1.38721,-87.87,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2016,5.969428,landsat,1985,2.46173,0.41857,3.5077,142.49,1.524,4.44543,291.69,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2017,1.0560019999999999,landsat,1985,2.46173,0.41857,-1.40573,-57.1,1.59002,-0.53402,-33.59,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2018,0.249868,landsat,1985,2.46173,0.41857,-2.21186,-89.85,1.5623,-1.31243,-84.01,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2019,0.483318,landsat,1985,2.46173,0.41857,-1.97841,-80.37,0.39431,0.089,22.57,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2021,0.05289,landsat,1985,2.46173,0.41857,-2.40884,-97.85,1.09102,-1.03813,-95.15,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2023,0.129492,landsat,1985,2.46173,0.41857,-2.33224,-94.74,1.16288,-1.03339,-88.86,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2024,4.539538,landsat,1985,2.46173,0.41857,2.07781,84.4,1.13698,3.40256,299.26,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2025,0.609164,landsat,1985,2.46173,0.41857,-1.85256,-75.25,1.408,-0.79884,-56.74,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,2015-2025
2026,0.35382600000000003,landsat,1985,2.46173,0.41857,-2.1079,-85.63,1.83418,-1.48035,-80.71,-0.09420971252092034,5.00000102654019,1.1374028131824616,-77.2519484067086,fuera_rango
2016,3.6485890000000003,sentinel2,2016,3.64859,3.59205,0.0,0.0,1.86032,1.78827,96.13,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2017,1.538408,sentinel2,2016,3.64859,3.59205,-2.11018,-57.84,1.52564,0.01277,0.84,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2018,0.393948,sentinel2,2016,3.64859,3.59205,-3.25464,-89.2,1.25042,-0.85648,-68.5,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2019,0.521619,sentinel2,2016,3.64859,3.59205,-3.12697,-85.7,0.57031,-0.0487,-8.54,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2020,0.14955600000000002,sentinel2,2016,3.64859,3.59205,-3.49903,-95.9,0.28215,-0.13259,-46.99,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2021,0.248043,sentinel2,2016,3.64859,3.59205,-3.40055,-93.2,0.2267,0.02134,9.41,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2022,0.097575,sentinel2,2016,3.64859,3.59205,-3.55101,-97.33,0.84079,-0.74322,-88.4,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2023,0.11672600000000001,sentinel2,2016,3.64859,3.59205,-3.53186,-96.8,1.0136,-0.89687,-88.48,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
2024,3.5920549999999998,sentinel2,2016,3.64859,3.59205,-0.05653,-1.55,1.26879,2.32327,183.11,-0.08929173333338902,1.5023357111111864,0.788001844444068,-47.54821850961454,2015-2025
