año,n_dias,snowfall_djf_mm,rain_djf_mm,melt_djf_mm,sublimation_djf_mm,runoff_djf_mm,routed_djf_mm,swe_mm_djf_medio,snow_cover_fraction_djf_medio
1986,90,17.003999999999998,79.99600000000001,125.77100000000002,2.904000000000001,205.76999999999998,240.09700000000004,18.67956666666667,0.08507333333333332
1987,90,9.504999999999999,47.995,692.523,16.923,740.5189999999999,799.7850000000001,206.46393333333333,0.47681444444444443
1988,91,36.06399999999999,40.836,887.269,24.273999999999997,928.1039999999999,988.1940000000001,383.6275054945055,0.6655318681318682
1989,90,32.358999999999995,82.241,125.45999999999998,2.156,207.70200000000003,229.54600000000002,46.99465555555556,0.07541333333333333
1990,90,36.711,54.689,240.68099999999998,5.299,295.375,350.846,54.41711111111112,0.15820333333333333
1991,90,65.134,50.366,176.14600000000002,2.6480000000000006,226.513,279.068,33.13055555555555,0.08827777777777779
1992,91,126.511,79.989,658.2030000000001,13.210999999999999,738.191,813.091,162.42218681318684,0.4079527472527474
1993,90,34.431999999999995,85.568,486.318,9.604999999999999,571.889,633.956,122.33527777777779,0.29969666666666667
1994,90,44.286,57.514,426.9410000000001,8.383999999999999,484.4510000000001,541.392,103.6909,0.2651977777777778
1995,90,50.68,59.52,265.949,3.664,325.47099999999995,383.8980000000001,56.457,0.1401322222222222
1996,91,24.610999999999997,95.58899999999998,234.98900000000003,3.521,330.57899999999995,393.842,54.51968131868132,0.12203956043956041
1997,90,53.932,52.767999999999994,75.04800000000002,1.084,127.819,143.793,26.05182222222222,0.033744444444444445
1998,90,61.52700000000001,79.373,977.059,16.096999999999998,1056.434,1107.4869999999999,344.82948888888893,0.5548722222222223
1999,90,32.46399999999999,84.23599999999999,79.335,1.009,163.57,176.959,39.48577777777778,0.03788111111111112
2000,91,45.279,32.321000000000005,184.72100000000003,4.184,217.041,261.91,50.92352747252747,0.12215384615384615
2001,90,18.444,45.256,526.755,8.794999999999998,572.01,637.503,131.10861111111112,0.2985544444444444
2002,90,20.375,70.82499999999999,523.884,6.271000000000001,594.7070000000001,666.247,121.71396666666666,0.2591966666666667
2003,90,99.18299999999999,28.517,718.819,13.649999999999999,747.336,813.4429999999999,214.1294333333333,0.4348622222222222
2004,91,33.168,78.63199999999999,142.804,2.986,221.433,253.514,59.673967032967035,0.09047472527472528
2005,90,54.527,49.87299999999999,207.02300000000002,4.814,256.899,305.966,68.68371111111112,0.14277444444444448
2006,90,32.947,94.25299999999999,842.919,9.524999999999999,937.1749999999998,993.4650000000001,253.39100000000002,0.41441666666666666
2007,90,59.335,48.165,624.8810000000001,11.770999999999997,673.0419999999999,738.826,184.11032222222224,0.3712222222222223
2008,91,33.153999999999996,98.046,197.35600000000002,3.9450000000000003,295.40000000000003,357.39300000000003,86.15170329670329,0.11997912087912087
2009,90,18.104,107.49600000000001,376.632,6.372999999999999,484.13300000000004,559.178,120.31315555555555,0.21452555555555558
2010,90,22.53,49.870000000000005,313.09099999999995,6.476999999999999,362.961,420.24299999999994,119.11202222222222,0.2010366666666667
2011,90,62.063,137.93699999999998,108.02100000000002,1.848,245.96300000000002,259.475,74.99050000000001,0.05593222222222223
2012,91,19.322,90.27799999999999,86.96800000000002,1.73,177.24500000000003,199.26500000000001,76.87858241758241,0.05469560439560439
2013,90,85.754,80.446,198.249,4.728,278.69399999999996,318.58500000000004,93.21673333333335,0.13760333333333336
2014,90,32.395,97.505,166.016,3.8569999999999998,263.521,297.03399999999993,93.01181111111111,0.11483
2015,90,49.072,43.528000000000006,185.91000000000003,3.9339999999999997,229.439,265.31199999999995,101.01461111111112,0.11693333333333336
2016,91,46.696,32.004000000000005,369.96500000000003,9.703,401.96500000000003,466.685,152.80880219780218,0.2698384615384616
2017,90,88.747,65.85300000000001,478.858,12.259999999999998,544.715,592.713,185.8551222222222,0.33268000000000003
2018,90,49.141999999999996,46.858,217.307,5.684000000000001,264.158,305.061,133.25433333333334,0.15478111111111112
2019,90,60.545,39.955000000000005,181.92099999999996,3.958000000000001,221.87599999999998,257.23900000000003,127.13925555555556,0.11667666666666664
2020,91,37.51500000000001,75.585,54.056999999999995,0.6980000000000002,129.641,133.462,101.59845054945056,0.022270329670329672
2021,90,156.347,104.753,302.245,6.954,407.0,462.93899999999996,129.15916666666666,0.20375888888888885
2022,90,66.86500000000001,120.335,116.518,1.397,236.85099999999997,260.20300000000003,112.13537777777778,0.046579999999999996
2023,90,62.078,136.322,129.345,1.792,265.668,314.898,118.22065555555558,0.057353333333333326
2024,91,25.945,80.555,873.706,10.905,954.2649999999999,1016.868,344.3834505494506,0.43492417582417575
2025,90,18.040000000000003,87.56,370.211,8.515,457.77099999999996,520.217,196.99456666666666,0.25408444444444445
2026,90,99.65900000000002,119.941,166.25800000000004,2.92,286.193,319.39300000000003,140.3922,0.08142444444444444
