año,sensor,area_pipeline_km2,area_dga_km2,diff_km2,abs_diff_km2,diff_pct
1985,landsat,2.816919,0.19658526246825098,2.620333737531749,2.620333737531749,1332.92
1986,landsat,1.603154,0.19658526246825098,1.406568737531749,1.406568737531749,715.5
1987,landsat,9.338975,0.19658526246825098,9.142389737531749,9.142389737531749,4650.6
1988,landsat,11.34885,0.19658526246825098,11.15226473753175,11.15226473753175,5672.99
1989,landsat,2.106536,0.19658526246825098,1.9099507375317493,1.9099507375317493,971.56
1990,landsat,1.997106,0.19658526246825098,1.8005207375317491,1.8005207375317491,915.9
1991,landsat,0.939278,0.19658526246825098,0.7426927375317489,0.7426927375317489,377.8
1992,landsat,0.7313609999999999,0.19658526246825098,0.534775737531749,0.534775737531749,272.03
1993,landsat,4.089044,0.19658526246825098,3.8924587375317494,3.8924587375317494,1980.04
1994,landsat,2.440302,0.19658526246825098,2.243716737531749,2.243716737531749,1141.35
1995,landsat,4.356242,0.19658526246825098,4.159656737531749,4.159656737531749,2115.96
1998,landsat,9.810439,0.19658526246825098,9.61385373753175,9.61385373753175,4890.42
1999,landsat,0.837142,0.19658526246825098,0.6405567375317491,0.6405567375317491,325.84
2000,landsat,1.705288,0.19658526246825098,1.508702737531749,1.508702737531749,767.45
2001,landsat,5.042914000000001,0.19658526246825098,4.846328737531749,4.846328737531749,2465.26
2002,landsat,4.696391,0.19658526246825098,4.499805737531749,4.499805737531749,2288.98
2003,landsat,10.916596,0.19658526246825098,10.72001073753175,10.72001073753175,5453.11
2004,landsat,2.113826,0.19658526246825098,1.917240737531749,1.917240737531749,975.27
2005,landsat,1.54844,0.19658526246825098,1.3518547375317491,1.3518547375317491,687.67
2006,landsat,7.851632,0.19658526246825098,7.655046737531749,7.655046737531749,3894.01
2007,landsat,4.386342,0.19658526246825098,4.189756737531749,4.189756737531749,2131.27
2009,landsat,0.52344,0.19658526246825098,0.32685473753174904,0.32685473753174904,166.27
2014,landsat,0.1532,0.19658526246825098,-0.043385262468250974,0.043385262468250974,-22.07
2015,landsat,0.191504,0.19658526246825098,-0.005081262468250969,0.005081262468250969,-2.58
2016,landsat,5.969428,0.19658526246825098,5.772842737531748,5.772842737531748,2936.56
2017,landsat,1.056002,0.19658526246825098,0.8594167375317492,0.8594167375317492,437.17
2018,landsat,0.249868,0.19658526246825098,0.05328273753174903,0.05328273753174903,27.1
2019,landsat,0.483318,0.19658526246825098,0.28673273753174905,0.28673273753174905,145.86
2021,landsat,0.05289,0.19658526246825098,-0.14369526246825098,0.14369526246825098,-73.1
2023,landsat,0.129492,0.19658526246825098,-0.06709326246825098,0.06709326246825098,-34.13
2024,landsat,4.539538,0.19658526246825098,4.342952737531749,4.342952737531749,2209.2
2025,landsat,0.609164,0.19658526246825098,0.41257873753174906,0.41257873753174906,209.87
2026,landsat,0.353826,0.19658526246825098,0.157240737531749,0.157240737531749,79.99
2016,sentinel2,3.648589,0.19658526246825098,3.452003737531749,3.452003737531749,1755.98
2017,sentinel2,1.538408,0.19658526246825098,1.341822737531749,1.341822737531749,682.57
2018,sentinel2,0.393948,0.19658526246825098,0.19736273753174904,0.19736273753174904,100.4
2019,sentinel2,0.521619,0.19658526246825098,0.3250337375317491,0.3250337375317491,165.34
2020,sentinel2,0.149556,0.19658526246825098,-0.04702926246825098,0.04702926246825098,-23.92
2021,sentinel2,0.248043,0.19658526246825098,0.05145773753174904,0.05145773753174904,26.18
2022,sentinel2,0.097575,0.19658526246825098,-0.09901026246825098,0.09901026246825098,-50.37
2023,sentinel2,0.116726,0.19658526246825098,-0.07985926246825098,0.07985926246825098,-40.62
2024,sentinel2,3.592055,0.19658526246825098,3.3954697375317493,3.3954697375317493,1727.22
