año,caudal_djf_m3s,codigo_estacion,nombre_estacion
1986,39.10733333333334,05403002,Río Aconcagua en Río Blanco
1987,63.044333333333334,05403002,Río Aconcagua en Río Blanco
1988,75.30733333333333,05403002,Río Aconcagua en Río Blanco
1989,31.766666666666666,05403002,Río Aconcagua en Río Blanco
1990,30.907666666666668,05403002,Río Aconcagua en Río Blanco
1991,21.189333333333334,05403002,Río Aconcagua en Río Blanco
1992,47.76833333333334,05403002,Río Aconcagua en Río Blanco
1993,43.03866666666667,05403002,Río Aconcagua en Río Blanco
1994,25.754,05403002,Río Aconcagua en Río Blanco
1995,13.501666666666665,05403002,Río Aconcagua en Río Blanco
1996,5.165666666666667,05403002,Río Aconcagua en Río Blanco
1997,1.531,05403002,Río Aconcagua en Río Blanco
1998,34.64666666666667,05403002,Río Aconcagua en Río Blanco
1999,4.987666666666667,05403002,Río Aconcagua en Río Blanco
2000,5.766000000000001,05403002,Río Aconcagua en Río Blanco
2001,30.35166666666667,05403002,Río Aconcagua en Río Blanco
2002,22.238666666666663,05403002,Río Aconcagua en Río Blanco
2003,40.73433333333333,05403002,Río Aconcagua en Río Blanco
2004,10.658,05403002,Río Aconcagua en Río Blanco
2005,5.451666666666667,05403002,Río Aconcagua en Río Blanco
2006,,05403002,Río Aconcagua en Río Blanco
2007,15.447,05403002,Río Aconcagua en Río Blanco
2008,6.27,05403002,Río Aconcagua en Río Blanco
2009,19.009333333333334,05403002,Río Aconcagua en Río Blanco
2010,12.816333333333333,05403002,Río Aconcagua en Río Blanco
2011,4.111,05403002,Río Aconcagua en Río Blanco
2012,2.967,05403002,Río Aconcagua en Río Blanco
2013,4.125666666666667,05403002,Río Aconcagua en Río Blanco
2014,11.070333333333332,05403002,Río Aconcagua en Río Blanco
2015,8.162,05403002,Río Aconcagua en Río Blanco
2016,15.956666666666665,05403002,Río Aconcagua en Río Blanco
2017,18.205,05403002,Río Aconcagua en Río Blanco
2018,4.6946666666666665,05403002,Río Aconcagua en Río Blanco
2019,3.3186666666666667,05403002,Río Aconcagua en Río Blanco
2020,2.9996666666666667,05403002,Río Aconcagua en Río Blanco
2021,4.015000000000001,05403002,Río Aconcagua en Río Blanco
2022,3.17,05403002,Río Aconcagua en Río Blanco
2023,3.0440000000000005,05403002,Río Aconcagua en Río Blanco
2024,,05403002,Río Aconcagua en Río Blanco
2025,10.722333333333333,05403002,Río Aconcagua en Río Blanco
2026,3.4356666666666666,05403002,Río Aconcagua en Río Blanco
1986,45.71033333333333,05410002,Río Aconcagua en Chacabuquito
1987,103.467,05410002,Río Aconcagua en Chacabuquito
1988,134.80066666666667,05410002,Río Aconcagua en Chacabuquito
1989,30.669,05410002,Río Aconcagua en Chacabuquito
1990,40.138,05410002,Río Aconcagua en Chacabuquito
1991,25.03933333333333,05410002,Río Aconcagua en Chacabuquito
1992,71.44266666666667,05410002,Río Aconcagua en Chacabuquito
1993,59.23366666666667,05410002,Río Aconcagua en Chacabuquito
1994,41.85366666666667,05410002,Río Aconcagua en Chacabuquito
1995,40.773666666666664,05410002,Río Aconcagua en Chacabuquito
1996,29.272666666666666,05410002,Río Aconcagua en Chacabuquito
1997,16.445333333333334,05410002,Río Aconcagua en Chacabuquito
1998,114.06133333333332,05410002,Río Aconcagua en Chacabuquito
1999,25.299000000000003,05410002,Río Aconcagua en Chacabuquito
2000,37.14266666666666,05410002,Río Aconcagua en Chacabuquito
2001,82.92966666666666,05410002,Río Aconcagua en Chacabuquito
2002,67.36066666666667,05410002,Río Aconcagua en Chacabuquito
2003,112.76400000000001,05410002,Río Aconcagua en Chacabuquito
2004,42.910666666666664,05410002,Río Aconcagua en Chacabuquito
2005,33.86533333333333,05410002,Río Aconcagua en Chacabuquito
2006,124.14733333333334,05410002,Río Aconcagua en Chacabuquito
2007,75.279,05410002,Río Aconcagua en Chacabuquito
2008,40.968333333333334,05410002,Río Aconcagua en Chacabuquito
2009,67.352,05410002,Río Aconcagua en Chacabuquito
2010,52.84766666666667,05410002,Río Aconcagua en Chacabuquito
2011,17.228666666666665,05410002,Río Aconcagua en Chacabuquito
2012,26.256666666666664,05410002,Río Aconcagua en Chacabuquito
2013,29.89566666666667,05410002,Río Aconcagua en Chacabuquito
2014,31.38133333333333,05410002,Río Aconcagua en Chacabuquito
2015,19.17833333333333,05410002,Río Aconcagua en Chacabuquito
2016,56.83833333333333,05410002,Río Aconcagua en Chacabuquito
2017,52.092000000000006,05410002,Río Aconcagua en Chacabuquito
2018,27.505,05410002,Río Aconcagua en Chacabuquito
2019,23.610666666666663,05410002,Río Aconcagua en Chacabuquito
2020,17.197333333333333,05410002,Río Aconcagua en Chacabuquito
2021,23.097333333333335,05410002,Río Aconcagua en Chacabuquito
2022,14.860999999999999,05410002,Río Aconcagua en Chacabuquito
2023,18.221,05410002,Río Aconcagua en Chacabuquito
2024,59.474333333333334,05410002,Río Aconcagua en Chacabuquito
2025,39.057,05410002,Río Aconcagua en Chacabuquito
2026,21.319666666666667,05410002,Río Aconcagua en Chacabuquito
