año,area_total_km2,sensor,año_base,area_ref_km2,area_ref_fin_km2,delta_largo_plazo_km2,pct_largo_plazo,media_movil_km2,delta_anomalia_km2,pct_anomalia,tasa_lineal_km2_año,area_tendencia_inicio_km2,area_tendencia_fin_km2,cambio_tendencia_pct,decada
1985,15.230415,landsat,1985,15.92636,13.78576,-0.69594,-4.37,18.66667,-3.43625,-18.41,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1986,17.042658,landsat,1985,15.92636,13.78576,1.1163,7.01,20.60039,-3.55773,-17.27,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1987,23.726934,landsat,1985,15.92636,13.78576,7.80058,48.98,19.69941,4.02752,20.44,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1988,26.401554,landsat,1985,15.92636,13.78576,10.4752,65.77,19.73405,6.6675,33.79,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1989,16.095493,landsat,1985,15.92636,13.78576,0.16914,1.06,19.47696,-3.38147,-17.36,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1990,15.403609,landsat,1985,15.92636,13.78576,-0.52275,-3.28,15.75542,-0.35181,-2.23,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1991,15.757218,landsat,1985,15.92636,13.78576,-0.16914,-1.06,14.44255,1.31467,9.1,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1992,5.1192009999999994,landsat,1985,15.92636,13.78576,-10.80715,-67.86,14.47521,-9.35601,-64.63,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1993,19.837239,landsat,1985,15.92636,13.78576,3.91088,24.56,15.18423,4.65301,30.64,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1994,16.258765,landsat,1985,15.92636,13.78576,0.33241,2.09,12.06688,4.19188,34.74,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1985-1994
1995,18.948713,landsat,1985,15.92636,13.78576,3.02236,18.98,14.07451,4.8742,34.63,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
1996,0.17048999999999997,landsat,1985,15.92636,13.78576,-15.75587,-98.93,14.9773,-14.80681,-98.86,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
1997,15.15735,landsat,1985,15.92636,13.78576,-0.76901,-4.83,15.6091,-0.45175,-2.89,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
1998,24.351159,landsat,1985,15.92636,13.78576,8.4248,52.9,14.96701,9.38415,62.7,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
1999,19.417783,landsat,1985,15.92636,13.78576,3.49143,21.92,18.92796,0.48982,2.59,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
2000,15.738271000000001,landsat,1985,15.92636,13.78576,-0.18808,-1.18,19.89155,-4.15328,-20.88,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
2001,19.975258,landsat,1985,15.92636,13.78576,4.0489,25.42,20.96843,-0.99317,-4.74,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
2002,19.975262,landsat,1985,15.92636,13.78576,4.04891,25.42,20.99729,-1.02203,-4.87,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
2003,29.735568,landsat,1985,15.92636,13.78576,13.80921,86.71,21.3426,8.39296,39.32,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
2004,19.562113,landsat,1985,15.92636,13.78576,3.63576,22.83,22.11315,-2.55103,-11.54,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,1995-2004
2005,17.46482,landsat,1985,15.92636,13.78576,1.53846,9.66,21.89683,-4.43201,-20.24,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,2005-2014
2006,23.827967,landsat,1985,15.92636,13.78576,7.90161,49.61,17.37389,6.45407,37.15,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,2005-2014
2007,18.893687,landsat,1985,15.92636,13.78576,2.96733,18.63,15.10882,3.78487,25.05,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,2005-2014
2008,7.120877,landsat,1985,15.92636,13.78576,-8.80548,-55.29,11.79843,-4.67755,-39.65,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,2005-2014
2009,8.236725,landsat,1985,15.92636,13.78576,-7.68963,-48.28,10.00026,-1.76353,-17.63,-0.10491498948427008,18.053673988108073,13.75215941925299,-23.826255928230918,2005-2014
