año,n_dias,snowfall_djf_mm,rain_djf_mm,melt_djf_mm,sublimation_djf_mm,runoff_djf_mm,routed_djf_mm,swe_mm_djf_medio,snow_cover_fraction_djf_medio
1986,90,52.458999999999996,44.541,157.11499999999998,4.213,201.65399999999997,226.12100000000004,37.13372222222222,0.14190333333333333
1987,90,29.277,28.223000000000003,591.6220000000001,14.343,619.845,676.883,250.92386666666664,0.4952444444444444
1988,91,52.480999999999995,24.419,761.5140000000001,18.559,785.9359999999999,849.5300000000001,478.5841318681319,0.6487582417582417
1989,90,64.003,50.597,166.60100000000003,4.960000000000001,217.20399999999998,235.835,224.6248555555555,0.1607211111111111
1990,90,58.12,33.279999999999994,224.99400000000003,6.075000000000002,258.27199999999993,296.56999999999994,257.2895111111111,0.20689000000000005
1991,90,81.03300000000002,34.467,190.75699999999998,4.854,225.22799999999998,257.344,268.4175222222222,0.16377222222222224
1992,91,148.189,58.31099999999999,545.632,12.974,603.948,669.097,445.90471428571436,0.4495824175824175
1993,90,68.059,51.940999999999995,407.33700000000005,10.357000000000001,459.27900000000005,516.2479999999999,477.7638111111111,0.34650222222222227
1994,90,67.72300000000001,34.077000000000005,351.802,9.084000000000001,385.8810000000001,434.906,519.9179888888889,0.30984333333333336
1995,90,72.404,37.79600000000001,239.80599999999998,6.405,277.60200000000003,318.74,533.66,0.21491444444444444
1996,91,63.632,56.568,226.14899999999997,6.0820000000000025,282.717,327.476,579.8263736263735,0.2003098901098901
1997,90,73.088,33.612,104.739,3.4060000000000006,138.355,150.696,563.6206222222222,0.10934333333333333
1998,90,91.8,49.099999999999994,827.094,17.901,876.19,925.3290000000001,953.7765222222223,0.6351822222222222
1999,90,68.28699999999999,48.413000000000004,132.578,4.386999999999999,180.99,193.59900000000002,711.1279999999999,0.13810111111111112
2000,91,54.36900000000001,23.230999999999998,167.921,5.382999999999999,191.149,220.42100000000002,757.3940659340659,0.17907252747252747
2001,90,36.479,27.221,425.30100000000004,10.576,452.522,515.899,900.6555666666666,0.3598433333333334
2002,90,52.07000000000001,39.13,422.976,10.216999999999999,462.105,527.3829999999999,979.3656555555556,0.3482511111111111
2003,90,96.654,31.045999999999996,561.206,13.940999999999999,592.254,655.766,1140.5683999999999,0.4791233333333333
2004,91,64.644,47.156000000000006,153.131,5.331,200.28199999999995,220.98299999999998,1060.009725274725,0.17080989010989012
2005,90,71.55100000000002,32.849,188.53799999999998,5.676000000000001,221.38699999999997,255.964,1117.3025666666667,0.19524666666666668
2006,90,71.48900000000002,55.711,682.2449999999999,15.028000000000002,737.9540000000001,793.971,1412.4732444444444,0.5210255555555556
2007,90,73.46799999999999,34.032,503.1889999999999,12.575000000000003,537.2230000000002,597.4039999999999,1446.943711111111,0.4299477777777778
2008,91,77.16000000000001,54.040000000000006,206.19,6.270000000000002,260.224,297.611,1421.5776043956043,0.20460329670329672
2009,90,66.565,59.035,327.0040000000001,9.355,386.03299999999996,439.45400000000006,1534.145277777778,0.3027444444444445
2010,90,40.781,31.619,241.779,7.377000000000002,273.399,318.475,1595.8103000000003,0.2473577777777778
2011,90,122.818,77.182,151.798,4.0,228.97799999999998,237.76,1595.7760222222225,0.13581444444444443
2012,91,57.764,51.836,107.163,4.097999999999999,158.993,172.38500000000002,1642.618967032967,0.12895164835164835
2013,90,114.789,51.41099999999999,188.848,5.3820000000000014,240.259,267.613,1707.0311000000004,0.18970333333333336
2014,90,71.689,58.211,159.93499999999997,5.638000000000002,218.147,238.531,1766.1836222222223,0.18637555555555557
2015,90,64.416,28.184,159.31199999999998,5.074000000000001,187.49299999999997,213.31099999999998,1832.591677777778,0.17234777777777777
2016,91,55.005,23.695,290.16,8.165999999999999,313.853,370.38900000000007,1944.3358131868126,0.2856604395604396
2017,90,108.069,46.531,373.18999999999994,9.705000000000002,419.713,459.31600000000003,2049.9660444444444,0.3387633333333333
2018,90,61.425000000000004,34.57500000000001,180.15300000000002,5.464000000000001,214.73,239.316,2080.7583555555557,0.19252888888888894
2019,90,70.922,29.578,152.62800000000001,4.709000000000001,182.20200000000003,205.80800000000002,2134.577788888889,0.1653388888888889
2020,91,65.44500000000001,47.655,70.649,2.9650000000000003,118.305,120.523,2151.22354945055,0.09427252747252744
2021,90,184.127,76.973,270.959,7.178000000000001,347.93100000000004,384.67999999999995,2241.708177777778,0.2518566666666666
2022,90,111.755,75.44500000000001,135.77599999999998,3.5580000000000016,211.225,229.875,2287.5874222222224,0.11734222222222222
2023,90,118.78399999999999,79.616,168.942,4.405000000000001,248.563,277.359,2360.353788888889,0.14528333333333332
2024,91,59.065,47.435,683.076,15.848,730.518,786.4169999999999,2701.912956043956,0.536278021978022
2025,90,59.61900000000001,45.981,315.293,9.241,361.27599999999995,410.138,2648.755188888889,0.3158477777777778
2026,90,143.255,76.345,185.035,4.833,261.38000000000005,285.629,2650.9157111111112,0.16415333333333335
