año,area_total_km2,sensor,año_base,delta_km2,pct_cambio,decada
1985,1.3968,landsat,1985,0.0,0.0,1985-1994
1986,0.6165,landsat,1985,-0.7803,-55.86,1985-1994
1987,5.423400000000001,landsat,1985,4.0266,288.27,1985-1994
1988,5.6709000000000005,landsat,1985,4.2741,305.99,1985-1994
1989,0.9486,landsat,1985,-0.4482,-32.09,1985-1994
1990,1.3131,landsat,1985,-0.0837,-5.99,1985-1994
1991,0.4824,landsat,1985,-0.9144,-65.46,1985-1994
1992,0.3537,landsat,1985,-1.0431,-74.68,1985-1994
1993,2.1050999999999997,landsat,1985,0.7083,50.71,1985-1994
1994,5.115600000000001,landsat,1985,3.7188,266.24,1985-1994
1995,2.2095000000000002,landsat,1985,0.8127,58.18,1995-2004
1996,0.5067,landsat,1985,-0.8901,-63.72,1995-2004
1997,0.0189,landsat,1985,-1.3779,-98.65,1995-2004
1998,1.3392,landsat,1985,-0.0576,-4.12,1995-2004
1999,0.0135,landsat,1985,-1.3833,-99.03,1995-2004
2000,0.8064,landsat,1985,-0.5904,-42.27,1995-2004
2001,2.5029,landsat,1985,1.1061,79.19,1995-2004
2002,1.1376,landsat,1985,-0.2592,-18.56,1995-2004
2003,5.4738,landsat,1985,4.077,291.88,1995-2004
2004,0.8936999999999999,landsat,1985,-0.5031,-36.02,1995-2004
2005,0.7821,landsat,1985,-0.6147,-44.01,2005-2014
2006,3.9447,landsat,1985,2.5479,182.41,2005-2014
2007,2.2068,landsat,1985,0.81,57.99,2005-2014
2008,0.7146,landsat,1985,-0.6822,-48.84,2005-2014
2009,0.2646,landsat,1985,-1.1322,-81.06,2005-2014
2010,1.6622999999999999,landsat,1985,0.2655,19.01,2005-2014
2011,0.13140000000000002,landsat,1985,-1.2654,-90.59,2005-2014
2013,0.1764,landsat,1985,-1.2204,-87.37,2005-2014
2014,0.0864,landsat,1985,-1.3104,-93.81,2005-2014
2015,0.0918,landsat,1985,-1.305,-93.43,2015-2025
2016,3.0411,landsat,1985,1.6443,117.72,2015-2025
2017,0.45089999999999997,landsat,1985,-0.9459,-67.72,2015-2025
2018,0.1215,landsat,1985,-1.2753,-91.3,2015-2025
2019,0.2511,landsat,1985,-1.1457,-82.02,2015-2025
2021,0.0324,landsat,1985,-1.3644,-97.68,2015-2025
2023,0.0927,landsat,1985,-1.3041,-93.36,2015-2025
2024,2.2959,landsat,1985,0.8991,64.37,2015-2025
2025,0.3312,landsat,1985,-1.0656,-76.29,2015-2025
