año,area_total_km2,sensor,año_base,delta_km2,pct_cambio,decada
2015,7.1716,sentinel2,2015,0.0,0.0,2015-2025
2016,3.4306,sentinel2,2015,-3.741,-52.16,2015-2025
2017,1.585,sentinel2,2015,-5.5866,-77.9,2015-2025
2018,0.3649,sentinel2,2015,-6.8067,-94.91,2015-2025
2019,0.6201,sentinel2,2015,-6.5515,-91.35,2015-2025
2020,0.1501,sentinel2,2015,-7.0215,-97.91,2015-2025
2021,0.1981,sentinel2,2015,-6.9735,-97.24,2015-2025
2022,0.0994,sentinel2,2015,-7.0722,-98.61,2015-2025
2023,0.093,sentinel2,2015,-7.0786,-98.7,2015-2025
2024,3.5744,sentinel2,2015,-3.5972,-50.16,2015-2025
