año,area_total_km2,sensor,año_base,area_ref_km2,area_ref_fin_km2,delta_largo_plazo_km2,pct_largo_plazo,media_movil_km2,delta_anomalia_km2,pct_anomalia,tasa_lineal_km2_año,area_tendencia_inicio_km2,area_tendencia_fin_km2,cambio_tendencia_pct,decada
1985,1.387684,landsat,1985,1.22808,0.21772,0.1596,13.0,2.28956,-0.90188,-39.39,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1986,0.800244,landsat,1985,1.22808,0.21772,-0.42784,-34.84,3.12676,-2.32652,-74.41,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1987,4.680756,landsat,1985,1.22808,0.21772,3.45267,281.14,2.71511,1.96565,72.4,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1988,5.638367,landsat,1985,1.22808,0.21772,4.41028,359.12,2.63553,3.00284,113.94,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1989,1.0684799999999999,landsat,1985,1.22808,0.21772,-0.1596,-13.0,2.57133,-1.50285,-58.45,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1990,0.9898,landsat,1985,1.22808,0.21772,-0.23828,-19.4,1.70599,-0.71619,-41.98,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1991,0.47925300000000004,landsat,1985,1.22808,0.21772,-0.74883,-60.98,0.99659,-0.51734,-51.91,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1992,0.354074,landsat,1985,1.22808,0.21772,-0.87401,-71.17,1.03647,-0.6824,-65.84,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1993,2.091365,landsat,1985,1.22808,0.21772,0.86328,70.29,1.27771,0.81366,63.68,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1994,1.267877,landsat,1985,1.22808,0.21772,0.0398,3.24,2.1586,-0.89073,-41.26,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1985-1994
1995,2.195977,landsat,1985,1.22808,0.21772,0.9679,78.81,2.17434,0.02164,1.0,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
1998,4.883724,landsat,1985,1.22808,0.21772,3.65564,297.67,1.9163,2.96743,154.85,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
1999,0.432757,landsat,1985,1.22808,0.21772,-0.79532,-64.76,2.17541,-1.74266,-80.11,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
2000,0.80114,landsat,1985,1.22808,0.21772,-0.42694,-34.76,2.20528,-1.40414,-63.67,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
2001,2.563463,landsat,1985,1.22808,0.21772,1.33538,108.74,2.31668,0.24678,10.65,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
2002,2.345296,landsat,1985,1.22808,0.21772,1.11721,90.97,2.44705,-0.10175,-4.16,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
2003,5.440765,landsat,1985,1.22808,0.21772,4.21268,343.03,2.44222,2.99855,122.78,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
2004,1.084576,landsat,1985,1.22808,0.21772,-0.14351,-11.69,2.71403,-1.62946,-60.04,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,1995-2004
2005,0.776997,landsat,1985,1.22808,0.21772,-0.45108,-36.73,2.68346,-1.90646,-71.04,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2005-2014
2006,3.9225369999999997,landsat,1985,1.22808,0.21772,2.69445,219.4,1.64788,2.27466,138.04,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2005-2014
2007,2.192401,landsat,1985,1.22808,0.21772,0.96432,78.52,1.44813,0.74427,51.4,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2005-2014
2009,0.262875,landsat,1985,1.22808,0.21772,-0.96521,-78.59,1.31097,-1.0481,-79.95,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2005-2014
2014,0.085837,landsat,1985,1.22808,0.21772,-1.14224,-93.01,1.13071,-1.04488,-92.41,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2005-2014
2015,0.091201,landsat,1985,1.22808,0.21772,-1.13688,-92.57,0.80364,-0.71244,-88.65,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2016,3.021256,landsat,1985,1.22808,0.21772,1.79317,146.01,0.77521,2.24605,289.73,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2017,0.557041,landsat,1985,1.22808,0.21772,-0.67104,-54.64,0.80793,-0.25089,-31.05,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2018,0.12070700000000001,landsat,1985,1.22808,0.21772,-1.10737,-90.17,0.79613,-0.67542,-84.84,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2019,0.249461,landsat,1985,1.22808,0.21772,-0.97862,-79.69,0.20475,0.04471,21.84,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2021,0.032188,landsat,1985,1.22808,0.21772,-1.19589,-97.38,0.54953,-0.51734,-94.14,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2023,0.064377,landsat,1985,1.22808,0.21772,-1.1637,-94.76,0.58726,-0.52289,-89.04,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2024,2.280919,landsat,1985,1.22808,0.21772,1.05284,85.73,0.57457,1.70635,296.98,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2025,0.309369,landsat,1985,1.22808,0.21772,-0.91871,-74.81,0.71016,-0.40079,-56.44,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,2015-2025
2026,0.185978,landsat,1985,1.22808,0.21772,-1.0421,-84.86,0.92542,-0.73944,-79.9,-0.04687932841088886,2.5006325514465146,0.5785800866000699,-76.86265076148894,fuera_rango
2016,3.4306,sentinel2,2016,3.4306,3.5744,0.0,0.0,1.7516,1.679,95.86,-0.07027833333338826,1.3826022222223742,0.8203755555552732,-40.66438326443496,2015-2025
2017,1.4402,sentinel2,2016,3.4306,3.5744,-1.9904,-58.02,1.43588,0.00432,0.3,-0.07027833333338826,1.3826022222223742,0.8203755555552732,-40.66438326443496,2015-2025
2018,0.384,sentinel2,2016,3.4306,3.5744,-3.0466,-88.81,1.17872,-0.79472,-67.42,-0.07027833333338826,1.3826022222223742,0.8203755555552732,-40.66438326443496,2015-2025
2019,0.4887,sentinel2,2016,3.4306,3.5744,-2.9419,-85.75,0.53774,-0.04904,-9.12,-0.07027833333338826,1.3826022222223742,0.8203755555552732,-40.66438326443496,2015-2025
2020,0.1501,sentinel2,2016,3.4306,3.5744,-3.2805,-95.62,0.26958,-0.11948,-44.32,-0.07027833333338826,1.3826022222223742,0.8203755555552732,-40.66438326443496,2015-2025
2021,0.2257,sentinel2,2016,3.4306,3.5744,-3.2049,-93.42,0.21684,0.00886,4.09,-0.07027833333338826,1.3826022222223742,0.8203755555552732,-40.66438326443496,2015-2025
