año,n_dias,snowfall_djf_mm,rain_djf_mm,melt_djf_mm,sublimation_djf_mm,runoff_djf_mm,routed_djf_mm,swe_mm_djf_medio,snow_cover_fraction_djf_medio
1986,90,16.558999999999997,80.441,125.975,2.9070000000000005,206.41499999999996,241.03300000000002,18.856955555555555,0.08537444444444445
1987,90,9.334999999999999,48.165,693.46,16.841999999999995,741.624,800.766,206.94072222222223,0.47605111111111104
1988,91,35.706,41.194,887.3609999999999,24.206000000000003,928.5559999999998,989.0169999999999,384.1403736263737,0.6643472527472527
1989,90,31.988,82.612,125.491,2.156,208.103,230.00099999999998,47.70097777777779,0.07570555555555555
1990,90,36.211,55.189,240.92799999999994,5.316000000000001,296.116,351.562,55.12806666666666,0.15869000000000003
1991,90,64.48,51.02,175.957,2.645,226.974,280.02500000000003,33.784933333333335,0.08847999999999999
1992,91,124.97200000000001,81.52799999999999,656.716,13.113999999999999,738.2470000000001,813.471,163.05319780219781,0.4064230769230769
1993,90,33.827,86.17299999999999,486.916,9.557999999999998,573.092,635.126,123.45436666666667,0.2993122222222222
1994,90,43.771,58.029,427.801,8.358999999999998,485.831,542.655,105.07837777777777,0.2652688888888889
1995,90,49.94799999999999,60.251999999999995,265.9,3.6420000000000003,326.1530000000001,384.605,57.704433333333334,0.14008444444444443
1996,91,23.96,96.24,235.02700000000004,3.506,331.26399999999995,394.58799999999997,55.85535164835164,0.12215604395604393
1997,90,53.351000000000006,53.349,74.614,1.084,127.962,143.96,27.45648888888888,0.03392222222222223
1998,90,60.42799999999999,80.472,977.9019999999999,15.963,1058.3749999999998,1109.389,346.39391111111115,0.5533066666666666
1999,90,31.619,85.081,78.516,1.0039999999999998,163.60100000000003,176.94500000000002,41.18741111111112,0.037919999999999995
2000,91,44.721999999999994,32.878,184.78300000000002,4.18,217.65900000000005,262.872,52.82134065934066,0.12242527472527473
2001,90,17.985000000000003,45.714999999999996,527.827,8.724999999999998,573.541,639.043,133.34786666666665,0.29828666666666664
2002,90,19.945999999999998,71.25399999999999,524.658,6.2,595.9150000000001,667.6949999999999,123.99132222222221,0.25876555555555564
2003,90,98.36500000000001,29.335,719.03,13.565,748.368,814.52,216.71375555555557,0.43381333333333333
2004,91,32.86,78.94,143.022,2.992,221.965,254.237,62.42743956043956,0.0909087912087912
2005,90,54.160000000000004,50.24000000000001,207.76899999999998,4.83,258.01,307.238,71.73698888888887,0.14335666666666666
2006,90,32.515,94.685,843.3839999999999,9.406999999999998,938.067,994.434,256.2988111111111,0.41312111111111094
2007,90,58.595,48.905,624.803,11.672999999999996,673.71,739.7479999999999,187.36101111111105,0.3701488888888889
2008,91,32.27100000000001,98.929,196.88800000000003,3.9320000000000004,295.8169999999999,358.142,89.79673626373626,0.12007362637362634
2009,90,17.563000000000002,108.03699999999999,375.97400000000005,6.287999999999999,484.011,559.6060000000001,124.0854222222222,0.21341666666666667
2010,90,22.277,50.123000000000005,314.125,6.465,364.24699999999996,421.43899999999996,123.59112222222224,0.2014211111111111
2011,90,61.153000000000006,138.847,107.44200000000001,1.863,246.29,259.895,79.46022222222223,0.05639555555555555
2012,91,18.825999999999997,90.77399999999999,86.677,1.726,177.455,199.72400000000002,81.41853846153846,0.054910989010989016
2013,90,85.299,80.90100000000001,198.56900000000005,4.7620000000000005,279.47499999999997,319.50800000000004,98.10167777777778,0.1384733333333333
2014,90,31.590999999999998,98.309,166.207,3.851000000000001,264.51800000000003,298.17400000000004,97.95009999999998,0.1150188888888889
2015,90,48.53,44.07,186.005,3.94,230.07399999999998,265.9839999999999,106.12302222222222,0.11739222222222225
2016,91,46.089,32.611000000000004,371.37199999999996,9.752999999999998,403.986,468.563,158.67635164835167,0.27115934065934066
2017,90,87.66900000000001,66.931,477.9459999999999,12.254999999999999,544.8799999999999,592.6909999999999,191.6888888888889,0.33270555555555553
2018,90,48.221,47.778999999999996,217.145,5.689000000000001,264.927,305.71,139.289,0.15542999999999998
2019,90,60.027,40.473,182.03800000000004,3.9770000000000008,222.51100000000002,257.942,133.3609777777778,0.1174711111111111
2020,91,36.699,76.40099999999998,53.333,0.7000000000000002,129.735,133.561,107.77579120879119,0.022616483516483512
2021,90,154.755,106.345,300.769,6.921,407.11199999999997,463.136,135.4857,0.2033777777777777
2022,90,65.584,121.616,115.109,1.396,236.73,260.113,118.75346666666664,0.04674555555555556
2023,90,60.558,137.842,127.64200000000001,1.7750000000000001,265.485,314.99500000000006,125.06773333333332,0.05730666666666666
2024,91,25.365,81.135,872.71,10.773999999999997,953.8449999999999,1016.5820000000001,350.9075384615384,0.4329175824175823
2025,90,17.529999999999998,88.07,368.514,8.469000000000001,456.58099999999996,518.8359999999999,204.50711111111116,0.2531755555555556
2026,90,97.886,121.714,164.37,2.9139999999999997,286.079,319.448,148.31743333333333,0.08130222222222223
